Unnamed: 0,Timestamp,Paper ID (from shared sheet),Paper Title,Paper Year,Paper Available,Paper in English,Does the paper have at least 1 current OpenML Core Member as co-author?,"If yes, which Core Members?",Does the paper use datasets from OpenML?,"If unclear, one sentence explanation?","Does the paper use a collection (at least 2 or more) of datasets that are defined by OpenML designated to do benchmarking (e.g., openml benchmarking suites)?","If yes, which benchmark suites?","Does the paper use OpenML experiment data (i.e., utilise results from runs)? ","if yes: short (e.g., 1 sentence) explanation: how does it use this data?",Does the paper upload datasets to OpenML?,"If yes, which dataset?",Does the paper upload experiment data to OpenML?,"if yes: short (e.g., 1 sentence) explanation: what type of experiments?",Does the paper interact in any other way with OpenML?,"if yes: short (e.g., 1 sentence) explanation how?",Star it as some cool project to be showcased in our paper?,"If yes, please motivate your answer",Optional short description,"Is the paper a thesis (Bachelor's, Master's, or PhD)?"
0,2025-01-20 17:42:12,1236,"Optimal or Greedy Decision Trees? Revisiting their Objectives, Tuning, and Performance",2024.0,Yes,Yes,No,,Yes,,Unclear,"Mentions using ""large benchmark set from OpenML"", but no mention of which benchmark suite.",No,,No,,No,,No,,No,,,
1,2025-01-21 10:38:07,675,Impact of sampling on learning asymmetric-entropy decision trees from imbalanced data.,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
2,2025-01-21 13:41:44,1377,Efficient density and cluster based incremental outlier detection in data streams,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
3,2025-01-21 13:44:29,1597,Consensus driven on-device hyperparameter optimization for accelerated model convergence in decentralized federated learning,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
4,2025-01-21 13:49:29,273,Model selection with bootstrap validation,2023.0,Yes,Yes,No,,Yes,,No,,Yes,For benchmarking a model selection method,No,,No,,No,,No,,,
5,2025-01-21 13:54:49,1133,Sharing RapidMiner Workflows and Experiments with OpenML.,2015.0,Yes,Yes,Yes,"Jan N. van Rijn, Joaquin Vanschoren",Yes,,No,,No,,No,,No,,Yes,UI for OpenML,No,,,
6,2025-01-21 13:59:17,245,Transformational machine learning: Learning how to learn from many related scientific problems,2021.0,Yes,Yes,Yes,Joaquin Vanschoren,Yes,,Yes,meta-learning study (Details can be found on https://www.openml.org/s/7),Yes,model evaluations are used for meta-learning,No,,No,,No,,No,,,
7,2025-01-21 14:00:43,557,Learning No-Regret Sparse Generalized Linear Models with Varying Observation (s),2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
8,2025-01-21 14:02:11,550,Performance comparison of feature selection and extraction methods with random instance selection,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
9,2025-01-21 14:06:56,1226,Accelerated componentwise gradient boosting using efficient data representation and momentum-based optimization,2022.0,Yes,Yes,Yes,Bernd Bisch,Yes,,No,,No,,No,,No,,No,,No,,,
10,2025-01-21 14:09:27,42,Auto-sklearn 2.0: Hands-free automl via meta-learning,2022.0,Yes,Yes,Yes,Matthias Feurer,Yes,,Yes,AutoML Benchmark Version 1,No,,No,,No,,No,,Yes,"Auto-Sklearn 2, milestone in AutoML Research",,
11,2025-01-21 14:12:06,911,Data pre-processing pipeline generation for AutoETL,2021.0,Yes,Yes,No,,Yes,,Yes,openml-cc18,Yes,uses evaluation for a benchmark,No,,No,,No,,No,,,
12,2025-01-21 14:13:12,964,"Rlds: an ecosystem to generate, share and use datasets in reinforcement learning",2021.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,
13,2025-01-21 14:14:25,17,Hyperparameter Optimization in Machine Learning,2024.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,
14,2025-01-21 14:15:24,1213,Gaggle: Visual Analytics for Model Space Navigation,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
15,2025-01-21 14:17:09,144,It's just not that simple: an empirical study of the accuracy-explainability trade-off in machine learning for public policy,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
16,2025-01-21 14:20:37,910,Machine Learning with Applications,2022.0,Yes,Yes,No,,Yes,,No,,Yes,Algorithms / Flows,No,,No,,Yes,Weird/interesting use case for RL,No,,,
17,2025-01-21 14:23:17,1094,Driving behavior profiling and prediction in KSA using smart phone sensors and MLAs,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
18,2025-01-21 14:25:14,393,Tsxplain: Demystification of dnn decisions for time-series using natural language and statistical features,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,
