Status,Paper ID,Title,openml-suites-2021,openml-python-2021,openml-2014,openml-r-2017,paper url
TRUE,177,"Plaster: An Integration, Benchmark and Development Framework for Heterogeneous Metadata Normalization Methods",FALSE,FALSE,TRUE,FALSE,https://www.osti.gov/biblio/1567726
TRUE,1404,On the predictive power of meta-features in OpenML,FALSE,FALSE,TRUE,FALSE,https://sciendo.com/article/10.1515/amcs-2017-0048
TRUE,46,Probabilistic matrix factorization for automated machine learning,FALSE,FALSE,TRUE,FALSE,https://proceedings.neurips.cc/paper/2018/hash/b59a51a3c0bf9c5228fde841714f523a-Abstract.html
TRUE,155,Challenges and opportunities of generative models on tabular data,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S1568494624009979
TRUE,1593,Interpretable machine learning for time-to-event prediction in medicine and healthcare,TRUE,FALSE,FALSE,FALSE,https://www.sciencedirect.com/science/article/pii/S0933365724002689
TRUE,1234,Application of machine learning for fleet-based condition monitoring of ball screw drives in machine tools,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s00170-023-11524-9
TRUE,1535,How data scientistswork together with domain experts in scientific collaborations: To find the right answer or to ask the right question?,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3361118
TRUE,1709,Open graph benchmark: Datasets for machine learning on graphs,FALSE,TRUE,TRUE,FALSE,https://proceedings.neurips.cc/paper/2020/hash/fb60d411a5c5b72b2e7d3527cfc84fd0-Abstract.html
TRUE,573,On efficiently explaining graph-based classifiers,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2106.01350
TRUE,324,OpenML: a networked science platform for machine learning,FALSE,FALSE,TRUE,FALSE,https://research.tue.nl/files/60720162/vansopen2015.pdf
TRUE,1344,LBC: Language-Based-Classifier for Out-Of-Variable Generalization,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2408.10923
TRUE,290,Distributed hybrid quantum-classical performance prediction for hyperparameter optimization,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s42484-024-00198-5
TRUE,1324,Position: Why we must rethink empirical research in machine learning,TRUE,FALSE,TRUE,FALSE,https://epub.ub.uni-muenchen.de/121738/
